map,ore_scope,objective,builders,safe_ores,initially_visible_safe_ores,conveyor_tiles,first_harvester_round,first_delivery_round,all_harvesters_round,all_first_delivery_round,titanium_mined_100,titanium_mined_250,titanium_mined_500,titanium_mined_1000,titanium_stored_100,titanium_stored_250,titanium_stored_500,titanium_stored_1000,total_builder_cost,total_harvester_cost,total_conveyor_cost,total_capex,resource_delay_rounds
quarry,initially_visible,makespan,1,8,4,24,11,16,69,76,560,2060,4560,9560,1081,2961,6081,12331,30,112,87,229,0
quarry,initially_visible,income,2,8,4,24,11,16,33,39,730,2230,4730,9730,1181,3061,6181,12431,66,130,103,299,0
quarry,initially_visible,makespan,2,8,4,24,11,16,33,39,730,2230,4730,9730,1181,3061,6181,12431,66,130,103,299,0
quarry,initially_visible,income,3,8,4,24,11,16,29,35,770,2280,4770,9770,1153,3043,6153,12403,108,146,113,367,0
quarry,initially_visible,makespan,3,8,4,24,11,16,29,35,770,2280,4770,9770,1153,3043,6153,12403,108,146,113,367,0
quarry,initially_visible,income,4,8,4,24,12,17,16,22,810,2310,4810,9810,1116,2996,6116,12366,156,166,122,444,0
quarry,initially_visible,makespan,4,8,4,24,12,17,16,22,810,2310,4810,9810,1116,2996,6116,12366,156,166,122,444,0
runestone,all_safe,income,1,8,2,64,9,13,189,200,620,3140,8130,18130,1071,3677,9287,20537,30,264,299,593,0
runestone,all_safe,makespan,1,8,2,64,9,13,189,200,620,3140,8130,18130,1071,3677,9287,20537,30,264,299,593,0
runestone,all_safe,income,2,8,2,64,9,13,90,101,950,3950,8950,18950,1005,4385,10005,21255,66,302,327,695,0
runestone,all_safe,makespan,2,8,2,64,9,13,90,101,950,3950,8950,18950,1005,4385,10005,21255,66,302,327,695,0
runestone,all_safe,income,3,8,2,64,9,13,58,69,1200,4200,9200,19200,1137,4517,10137,21387,108,341,364,813,0
runestone,all_safe,makespan,3,8,2,64,10,14,58,68,1180,4180,9180,19180,1116,4496,10116,21366,108,341,365,814,0
runestone,all_safe,income,4,8,2,64,11,15,48,58,1320,4310,9320,19320,1139,4509,10139,21389,156,379,396,931,4
runestone,all_safe,makespan,4,8,2,64,11,15,48,58,1320,4310,9320,19320,1139,4509,10139,21389,156,379,396,931,4
runestone,initially_visible,income,1,8,2,8,9,13,22,26,410,1160,2410,4910,1056,2186,4056,7806,30,50,24,104,0
runestone,initially_visible,makespan,1,8,2,8,9,13,22,26,410,1160,2410,4910,1056,2186,4056,7806,30,50,24,104,0
runestone,initially_visible,income,2,8,2,8,9,13,10,14,440,1190,2440,4940,1033,2163,4033,7783,66,59,32,157,0
runestone,initially_visible,makespan,2,8,2,8,9,13,10,14,440,1190,2440,4940,1033,2163,4033,7783,66,59,32,157,0
runestone,initially_visible,income,3,8,2,8,9,13,10,14,440,1190,2440,4940,982,2112,3982,7732,108,67,33,208,0
runestone,initially_visible,makespan,3,8,2,8,9,13,10,14,440,1190,2440,4940,982,2112,3982,7732,108,67,33,208,0
runestone,initially_visible,income,4,8,2,8,9,13,10,14,440,1190,2440,4940,921,2051,3921,7671,156,75,38,269,0
runestone,initially_visible,makespan,4,8,2,8,9,13,10,14,440,1190,2440,4940,921,2051,3921,7671,156,75,38,269,0
skerry,all_safe,income,1,5,3,26,3,4,72,83,850,2730,5850,12100,1331,3591,7331,14831,30,139,100,269,0
skerry,all_safe,makespan,1,5,3,26,3,4,72,83,850,2730,5850,12100,1331,3591,7331,14831,30,139,100,269,0
skerry,all_safe,income,2,5,3,26,3,4,33,42,990,2860,5990,12240,1395,3645,7395,14895,66,161,118,345,0
skerry,all_safe,makespan,2,5,3,26,3,4,33,42,990,2860,5990,12240,1395,3645,7395,14895,66,161,118,345,0
skerry,all_safe,income,3,5,3,26,3,4,27,36,1010,2900,6010,12260,1340,3610,7340,14840,108,183,129,420,0
skerry,all_safe,makespan,3,5,3,26,4,5,24,34,1020,2900,6020,12270,1350,3610,7350,14850,108,185,127,420,0
skerry,all_safe,income,4,5,3,26,3,4,24,35,1040,2910,6040,12290,1289,3539,7289,14789,156,204,141,501,0
skerry,all_safe,makespan,4,5,3,26,4,5,23,34,1030,2910,6030,12280,1279,3539,7279,14779,156,206,139,501,0
skerry,initially_visible,income,1,5,3,6,3,4,18,21,670,1800,3670,7420,1294,2804,5294,10294,30,76,20,126,0
skerry,initially_visible,makespan,1,5,3,6,3,4,18,21,670,1800,3670,7420,1294,2804,5294,10294,30,76,20,126,0
skerry,initially_visible,income,2,5,3,6,3,4,9,11,700,1820,3700,7450,1271,2771,5271,10271,66,89,24,179,0
skerry,initially_visible,makespan,2,5,3,6,3,4,9,11,700,1820,3700,7450,1271,2771,5271,10271,66,89,24,179,0
skerry,initially_visible,income,3,5,3,6,4,5,7,10,700,1830,3700,7450,1215,2725,5215,10215,108,101,26,235,0
skerry,initially_visible,makespan,3,5,3,6,4,5,7,10,700,1830,3700,7450,1215,2725,5215,10215,108,101,26,235,0
skerry,initially_visible,income,4,5,3,6,4,5,7,10,700,1830,3700,7450,1153,2663,5153,10153,156,113,28,297,0
skerry,initially_visible,makespan,4,5,3,6,4,5,7,10,700,1830,3700,7450,1153,2663,5153,10153,156,113,28,297,0
sprint,all_safe,income,1,3,3,9,7,10,27,30,610,1730,3610,7360,1223,2723,5223,10223,30,77,30,137,0
sprint,all_safe,makespan,1,3,3,9,7,10,27,30,610,1730,3610,7360,1223,2723,5223,10223,30,77,30,137,0
sprint,all_safe,income,2,3,3,9,7,10,17,20,660,1780,3660,7410,1218,2718,5218,10218,66,90,36,192,0
sprint,all_safe,makespan,2,3,3,9,7,10,17,20,660,1780,3660,7410,1218,2718,5218,10218,66,90,36,192,0
sprint,all_safe,income,3,3,3,9,7,10,9,12,680,1800,3680,7430,1182,2682,5182,10182,108,102,38,248,0
sprint,all_safe,makespan,3,3,3,9,7,10,9,12,680,1800,3680,7430,1182,2682,5182,10182,108,102,38,248,0
sprint,all_safe,income,4,3,3,9,7,10,9,12,680,1800,3680,7430,1117,2617,5117,10117,156,114,43,313,0
sprint,all_safe,makespan,4,3,3,9,7,10,9,12,680,1800,3680,7430,1117,2617,5117,10117,156,114,43,313,0
sprint,initially_visible,income,1,3,3,9,7,10,27,30,610,1730,3610,7360,1223,2723,5223,10223,30,77,30,137,0
sprint,initially_visible,makespan,1,3,3,9,7,10,27,30,610,1730,3610,7360,1223,2723,5223,10223,30,77,30,137,0
sprint,initially_visible,income,2,3,3,9,7,10,17,20,660,1780,3660,7410,1218,2718,5218,10218,66,90,36,192,0
sprint,initially_visible,makespan,2,3,3,9,7,10,17,20,660,1780,3660,7410,1218,2718,5218,10218,66,90,36,192,0
sprint,initially_visible,income,3,3,3,9,7,10,9,12,680,1800,3680,7430,1182,2682,5182,10182,108,102,38,248,0
sprint,initially_visible,makespan,3,3,3,9,7,10,9,12,680,1800,3680,7430,1182,2682,5182,10182,108,102,38,248,0
sprint,initially_visible,income,4,3,3,9,7,10,9,12,680,1800,3680,7430,1117,2617,5117,10117,156,114,43,313,0
sprint,initially_visible,makespan,4,3,3,9,7,10,9,12,680,1800,3680,7430,1117,2617,5117,10117,156,114,43,313,0
strait,all_safe,income,1,6,2,55,7,10,154,171,650,2680,6440,13940,1114,3354,7734,16484,30,184,242,456,0
strait,all_safe,makespan,1,6,2,55,7,10,154,171,650,2680,6440,13940,1114,3354,7734,16484,30,184,242,456,0
strait,all_safe,income,2,6,2,55,7,10,76,90,860,3080,6860,14360,1057,3657,8057,16807,66,214,273,553,0
strait,all_safe,makespan,2,6,2,55,8,11,72,89,820,3080,6820,14320,1015,3655,8015,16765,66,216,273,555,0
strait,all_safe,income,3,6,2,55,7,10,46,62,990,3220,6990,14490,1089,3699,8089,16839,108,244,299,651,0
strait,all_safe,makespan,3,6,2,55,7,10,46,62,990,3220,6990,14490,1089,3699,8089,16839,108,244,299,651,0
strait,all_safe,income,4,6,2,55,7,10,40,54,1030,3270,7030,14530,1019,3639,8019,16769,156,272,333,761,0
strait,all_safe,makespan,4,6,2,55,8,11,37,52,1020,3270,7020,14520,1011,3641,8011,16761,156,274,329,759,0
strait,initially_visible,income,1,6,2,6,7,10,17,20,430,1180,2430,4930,1082,2212,4082,7832,30,50,18,98,0
strait,initially_visible,makespan,1,6,2,6,7,10,17,20,430,1180,2430,4930,1082,2212,4082,7832,30,50,18,98,0
strait,initially_visible,income,2,6,2,6,7,10,8,11,460,1200,2460,4960,1061,2181,4061,7811,66,59,24,149,0
strait,initially_visible,makespan,2,6,2,6,7,10,8,11,460,1200,2460,4960,1061,2181,4061,7811,66,59,24,149,0
strait,initially_visible,income,3,6,2,6,7,10,8,11,460,1200,2460,4960,1011,2131,4011,7761,108,67,24,199,0
strait,initially_visible,makespan,3,6,2,6,7,10,8,11,460,1200,2460,4960,1011,2131,4011,7761,108,67,24,199,0
