rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta,aggregate_rank,aggregate_melo_r,aggregate_melo_r_elo,aggregate_nash_prob,aggregate_nash_average,aggregate_nash_rank,aggregate_rank_delta
29,vg_v5@9713344,vg_v5,9713344,1974,598,0,1376,0.3029,-0.621103,-107.9,-1.56237,0.529457,-0.454375,0.0,-1.609438,32,-3,31,-1.56237,-271.4,0.0,-2.785011,42,-11
30,vg_v4@9713344,vg_v4,9713344,1974,577,0,1397,0.2923,-0.654632,-113.7,-1.53796,0.6812,-0.208924,0.0,-1.609438,33,-3,29,-1.53796,-267.2,0.0,-2.423538,34,-5
31,vg_v2@9713344,vg_v2,9713344,1974,575,0,1399,0.2913,-0.657826,-114.3,-1.663533,0.547867,-0.522974,0.0,-1.609438,34,-3,35,-1.663533,-289.0,0.0,-2.423538,31,4
32,vg_v7@9713344,vg_v7,9713344,1974,573,0,1401,0.2903,-0.661019,-114.8,-1.546572,0.699148,-0.178214,0.0,-1.609438,35,-3,30,-1.546572,-268.7,0.0,-2.785011,41,-11
33,vg_v3@9713344,vg_v3,9713344,1974,558,0,1416,0.2827,-0.684969,-119.0,-1.691589,0.60838,-0.434174,0.0,-1.609438,36,-3,38,-1.691589,-293.9,0.0,-2.423538,35,3
34,vg_v6@9713344,vg_v6,9713344,1974,556,0,1418,0.2817,-0.688162,-119.5,-1.691426,0.502999,-0.432902,0.0,-1.156783,18,16,37,-1.691426,-293.8,0.0,-2.423538,33,4
35,baiter@9713344,baiter,9713344,1974,551,0,1423,0.2791,-0.696146,-120.9,-1.688023,0.684332,-0.372532,0.0,-1.156783,19,16,36,-1.688023,-293.2,0.0,-2.423538,30,6
36,riptide@9713344,riptide,9713344,1974,544,0,1430,0.2756,-0.707322,-122.9,-1.653483,0.658169,-0.240498,0.0,-1.609438,37,-1,32,-1.653483,-287.2,0.0,-2.423538,32,0
37,reaver@9713344,reaver,9713344,1974,519,0,1455,0.2629,-0.747239,-129.8,-1.654319,0.578149,-0.08096,0.0,-1.609438,38,-1,33,-1.654319,-287.4,0.0,-2.785011,37,-4
38,nemesis@9713344,nemesis,9713344,1974,498,0,1476,0.2523,-0.780769,-135.6,-1.659853,0.874062,0.143349,0.0,-1.609438,39,-1,34,-1.659853,-288.3,0.0,-3.320228,44,-10
39,titanium_v1@9713344,titanium_v1,9713344,1974,457,0,1517,0.2315,-0.846232,-147.0,-1.945497,0.673457,-0.203074,0.0,-1.609438,40,-1,40,-1.945497,-338.0,0.0,-2.785011,38,2
40,vg_v1@9713344,vg_v1,9713344,1974,456,0,1518,0.231,-0.847829,-147.3,-1.98295,0.399323,-0.237962,0.0,-1.609438,41,-1,41,-1.98295,-344.5,0.0,-4.442651,48,-7
41,siege_v2@9713344,siege_v2,9713344,1974,446,0,1528,0.2259,-0.863796,-150.1,-1.864324,0.614974,0.107758,0.0,-1.609438,42,-1,39,-1.864324,-323.9,0.0,-2.423538,28,11
42,attack_wave_v1@9713344,attack_wave_v1,9713344,1974,410,0,1564,0.2077,-0.921275,-160.0,-2.009406,0.652766,0.14777,0.0,-1.609438,43,-1,42,-2.009406,-349.1,0.0,-2.785011,36,6
43,jonbot@9713344,jonbot,9713344,1974,390,0,1584,0.1976,-0.953209,-165.6,-2.102755,0.252595,0.582957,0.0,-1.609438,44,-1,44,-2.102755,-365.3,0.0,-4.442651,46,-2
44,frontier_v2@9713344,frontier_v2,9713344,1974,379,0,1595,0.192,-0.970772,-168.6,-2.11434,0.595783,0.244794,0.0,-1.156783,20,24,45,-2.11434,-367.3,0.0,-2.785011,39,6
45,siege_v1@9713344,siege_v1,9713344,1974,373,0,1601,0.189,-0.980352,-170.3,-2.075991,0.623106,0.319642,0.0,-1.609438,45,0,43,-2.075991,-360.6,0.0,-2.785011,40,3
46,frontier_v1@9713344,frontier_v1,9713344,1974,362,0,1612,0.1834,-0.997915,-173.4,-2.115795,0.242878,0.37019,0.0,-1.609438,46,0,46,-2.115795,-367.6,0.0,-3.320228,43,3
47,luc_1@604349b,luc_1,604349b,1974,357,0,1617,0.1809,-1.005899,-174.7,-2.302756,-0.175914,-0.082609,0.0,-1.609438,47,0,47,-2.302756,-400.0,0.0,-4.442651,47,0
48,lockin@9713344,lockin,9713344,1974,344,0,1630,0.1743,-1.026655,-178.3,-2.380285,-0.27135,-0.055511,0.0,-1.609438,48,0,48,-2.380285,-413.5,0.0,-4.442651,45,3
